Country,Indicator,Region,Subregion,Year,Percentage
Cabo Verde,Unknown Mechanism rate,Africa,Western Africa,2011,0.8
Mauritius,Firearms rate,Africa,Eastern Africa,2012,0
Uganda,Firearms rate,Africa,Eastern Africa,2012,0.7
United Republic of Tanzania,Firearms rate,Africa,Eastern Africa,2012,0.1
Mauritius,Other Mechanism rate,Africa,Eastern Africa,2012,1.6
United Republic of Tanzania,Other Mechanism rate,Africa,Eastern Africa,2012,1.5
Mauritius,Sharp Objects rate,Africa,Eastern Africa,2012,0.7
United Republic of Tanzania,Sharp Objects rate,Africa,Eastern Africa,2012,6.8
Mauritius,Unknown Mechanism rate,Africa,Eastern Africa,2012,0
United Republic of Tanzania,Unknown Mechanism rate,Africa,Eastern Africa,2012,0
Namibia,Firearms rate,Africa,Southern Africa,2012,2.6
Cabo Verde,Firearms rate,Africa,Western Africa,2012,5.3
Cabo Verde,Other Mechanism rate,Africa,Western Africa,2012,0.8
Cabo Verde,Sharp Objects rate,Africa,Western Africa,2012,3.6
Cabo Verde,Unknown Mechanism rate,Africa,Western Africa,2012,1.2
Uganda,Firearms rate,Africa,Eastern Africa,2013,0.5
United Republic of Tanzania,Firearms rate,Africa,Eastern Africa,2013,0.1
United Republic of Tanzania,Other Mechanism rate,Africa,Eastern Africa,2013,2
United Republic of Tanzania,Sharp Objects rate,Africa,Eastern Africa,2013,5.2
United Republic of Tanzania,Unknown Mechanism rate,Africa,Eastern Africa,2013,0
Morocco,Firearms rate,Africa,Northern Africa,2013,0
Morocco,Other Mechanism rate,Africa,Northern Africa,2013,0.4
Morocco,Sharp Objects rate,Africa,Northern Africa,2013,0.8
Morocco,Unknown Mechanism rate,Africa,Northern Africa,2013,0
Cabo Verde,Firearms rate,Africa,Western Africa,2013,4.2
Cabo Verde,Other Mechanism rate,Africa,Western Africa,2013,2.9
Cabo Verde,Sharp Objects rate,Africa,Western Africa,2013,3.3
United Republic of Tanzania,Firearms rate,Africa,Eastern Africa,2014,0.1
United Republic of Tanzania,Other Mechanism rate,Africa,Eastern Africa,2014,1.8
United Republic of Tanzania,Sharp Objects rate,Africa,Eastern Africa,2014,5.5
United Republic of Tanzania,Unknown Mechanism rate,Africa,Eastern Africa,2014,0
Algeria,Firearms rate,Africa,Northern Africa,2014,0.1
Algeria,Other Mechanism rate,Africa,Northern Africa,2014,0.3
Algeria,Sharp Objects rate,Africa,Northern Africa,2014,0.9
Algeria,Unknown Mechanism rate,Africa,Northern Africa,2014,0.1
Cabo Verde,Firearms rate,Africa,Western Africa,2014,4.9
Cabo Verde,Other Mechanism rate,Africa,Western Africa,2014,4.7
Cabo Verde,Sharp Objects rate,Africa,Western Africa,2014,2.7
United Republic of Tanzania,Firearms rate,Africa,Eastern Africa,2015,0.1
United Republic of Tanzania,Other Mechanism rate,Africa,Eastern Africa,2015,1.9
United Republic of Tanzania,Sharp Objects rate,Africa,Eastern Africa,2015,5
United Republic of Tanzania,Unknown Mechanism rate,Africa,Eastern Africa,2015,0
Algeria,Firearms rate,Africa,Northern Africa,2015,0.2
Morocco,Firearms rate,Africa,Northern Africa,2015,0
Algeria,Other Mechanism rate,Africa,Northern Africa,2015,0.2
Morocco,Other Mechanism rate,Africa,Northern Africa,2015,0.4
Algeria,Sharp Objects rate,Africa,Northern Africa,2015,0.8
Morocco,Sharp Objects rate,Africa,Northern Africa,2015,0.7
Algeria,Unknown Mechanism rate,Africa,Northern Africa,2015,0.1
Morocco,Unknown Mechanism rate,Africa,Northern Africa,2015,0.1
Cabo Verde,Firearms rate,Africa,Western Africa,2015,3.2
Cabo Verde,Other Mechanism rate,Africa,Western Africa,2015,2.3
Cabo Verde,Sharp Objects rate,Africa,Western Africa,2015,3.2
Uganda,Firearms rate,Africa,Eastern Africa,2016,0.5
Uganda,Other Mechanism rate,Africa,Eastern Africa,2016,0.4
Uganda,Unknown Mechanism rate,Africa,Eastern Africa,2016,7.1
Central African Republic,Firearms rate,Africa,Middle Africa,2016,12.3
Central African Republic,Other Mechanism rate,Africa,Middle Africa,2016,3.9
Central African Republic,Sharp Objects rate,Africa,Middle Africa,2016,1.7
Central African Republic,Unknown Mechanism rate,Africa,Middle Africa,2016,1.9
Eswatini,Firearms rate,Africa,Southern Africa,2017,0.5
Trinidad and Tobago,Firearms rate,Americas,Caribbean,2005,21.1
United States Virgin Islands,Firearms rate,Americas,Caribbean,2005,26
Trinidad and Tobago,Other Mechanism rate,Americas,Caribbean,2005,2.8
United States Virgin Islands,Other Mechanism rate,Americas,Caribbean,2005,2.8
Trinidad and Tobago,Sharp Objects rate,Americas,Caribbean,2005,5.9
United States Virgin Islands,Sharp Objects rate,Americas,Caribbean,2005,2.8
Trinidad and Tobago,Unknown Mechanism rate,Americas,Caribbean,2005,0
United States Virgin Islands,Unknown Mechanism rate,Americas,Caribbean,2005,2.8
United States of America,Firearms rate,Americas,Northern America,2005,3.9
United States of America,Other Mechanism rate,Americas,Northern America,2005,0.7
United States of America,Sharp Objects rate,Americas,Northern America,2005,0.7
United States of America,Unknown Mechanism rate,Americas,Northern America,2005,0.4
Venezuela,Firearms rate,Americas,South America,2005,32.4
Venezuela,Other Mechanism rate,Americas,South America,2005,1.5
Venezuela,Sharp Objects rate,Americas,South America,2005,2.8
Venezuela,Unknown Mechanism rate,Americas,South America,2005,0.5
Anguilla,Firearms rate,Americas,Caribbean,2006,9.7
Aruba,Firearms rate,Americas,Caribbean,2006,1
Bahamas,Firearms rate,Americas,Caribbean,2006,10.3
British Virgin Islands,Firearms rate,Americas,Caribbean,2006,0
Cayman Islands,Firearms rate,Americas,Caribbean,2006,0
Cuba,Firearms rate,Americas,Caribbean,2006,0.4
Grenada,Firearms rate,Americas,Caribbean,2006,1
Jamaica,Firearms rate,Americas,Caribbean,2006,36.5
Martinique,Firearms rate,Americas,Caribbean,2006,1
Montserrat,Firearms rate,Americas,Caribbean,2006,0
Puerto Rico,Firearms rate,Americas,Caribbean,2006,17.4
Trinidad and Tobago,Firearms rate,Americas,Caribbean,2006,20.7
United States Virgin Islands,Firearms rate,Americas,Caribbean,2006,36.3
Anguilla,Other Mechanism rate,Americas,Caribbean,2006,0
Aruba,Other Mechanism rate,Americas,Caribbean,2006,1
Bahamas,Other Mechanism rate,Americas,Caribbean,2006,1.3
British Virgin Islands,Other Mechanism rate,Americas,Caribbean,2006,4.2
Cayman Islands,Other Mechanism rate,Americas,Caribbean,2006,0
Cuba,Other Mechanism rate,Americas,Caribbean,2006,1
Grenada,Other Mechanism rate,Americas,Caribbean,2006,4.8
Jamaica,Other Mechanism rate,Americas,Caribbean,2006,2.9
Martinique,Other Mechanism rate,Americas,Caribbean,2006,1.3
Montserrat,Other Mechanism rate,Americas,Caribbean,2006,20.6
Puerto Rico,Other Mechanism rate,Americas,Caribbean,2006,0.6
Trinidad and Tobago,Other Mechanism rate,Americas,Caribbean,2006,3.5
United States Virgin Islands,Other Mechanism rate,Americas,Caribbean,2006,0.9
Anguilla,Sharp Objects rate,Americas,Caribbean,2006,19.4
Aruba,Sharp Objects rate,Americas,Caribbean,2006,2
Bahamas,Sharp Objects rate,Americas,Caribbean,2006,4.1
British Virgin Islands,Sharp Objects rate,Americas,Caribbean,2006,4.2
Cayman Islands,Sharp Objects rate,Americas,Caribbean,2006,2
Cuba,Sharp Objects rate,Americas,Caribbean,2006,3.6
Grenada,Sharp Objects rate,Americas,Caribbean,2006,5.8
Jamaica,Sharp Objects rate,Americas,Caribbean,2006,9.1
Martinique,Sharp Objects rate,Americas,Caribbean,2006,2.5
Montserrat,Sharp Objects rate,Americas,Caribbean,2006,0
Puerto Rico,Sharp Objects rate,Americas,Caribbean,2006,1
Trinidad and Tobago,Sharp Objects rate,Americas,Caribbean,2006,4.2
United States Virgin Islands,Sharp Objects rate,Americas,Caribbean,2006,1.9
Anguilla,Unknown Mechanism rate,Americas,Caribbean,2006,9.7
Aruba,Unknown Mechanism rate,Americas,Caribbean,2006,1
Bahamas,Unknown Mechanism rate,Americas,Caribbean,2006,2.5
British Virgin Islands,Unknown Mechanism rate,Americas,Caribbean,2006,0
Cayman Islands,Unknown Mechanism rate,Americas,Caribbean,2006,0
Cuba,Unknown Mechanism rate,Americas,Caribbean,2006,0.1
Grenada,Unknown Mechanism rate,Americas,Caribbean,2006,0
Jamaica,Unknown Mechanism rate,Americas,Caribbean,2006,0
Martinique,Unknown Mechanism rate,Americas,Caribbean,2006,1
Montserrat,Unknown Mechanism rate,Americas,Caribbean,2006,0
Puerto Rico,Unknown Mechanism rate,Americas,Caribbean,2006,0.9
Trinidad and Tobago,Unknown Mechanism rate,Americas,Caribbean,2006,0
United States Virgin Islands,Unknown Mechanism rate,Americas,Caribbean,2006,0.9
Costa Rica,Firearms rate,Americas,Central America,2006,5
El Salvador,Firearms rate,Americas,Central America,2006,52.9
Honduras,Firearms rate,Americas,Central America,2006,32.3
Mexico,Firearms rate,Americas,Central America,2006,5.2
Panama,Firearms rate,Americas,Central America,2006,4.5
Costa Rica,Other Mechanism rate,Americas,Central America,2006,1.2
El Salvador,Other Mechanism rate,Americas,Central America,2006,6.3
Honduras,Other Mechanism rate,Americas,Central America,2006,1
Mexico,Other Mechanism rate,Americas,Central America,2006,1.5
Panama,Other Mechanism rate,Americas,Central America,2006,0.9
Costa Rica,Sharp Objects rate,Americas,Central America,2006,1.9
El Salvador,Sharp Objects rate,Americas,Central America,2006,5.6
Honduras,Sharp Objects rate,Americas,Central America,2006,7.3
Mexico,Sharp Objects rate,Americas,Central America,2006,1.5
Panama,Sharp Objects rate,Americas,Central America,2006,1.1
Costa Rica,Unknown Mechanism rate,Americas,Central America,2006,0
El Salvador,Unknown Mechanism rate,Americas,Central America,2006,0
Honduras,Unknown Mechanism rate,Americas,Central America,2006,0.8
Mexico,Unknown Mechanism rate,Americas,Central America,2006,1.2
Panama,Unknown Mechanism rate,Americas,Central America,2006,0
Canada,Firearms rate,Americas,Northern America,2006,0.6
United States of America,Firearms rate,Americas,Northern America,2006,3.4
Canada,Other Mechanism rate,Americas,Northern America,2006,0.5
United States of America,Other Mechanism rate,Americas,Northern America,2006,0.6
Canada,Sharp Objects rate,Americas,Northern America,2006,0.7
United States of America,Sharp Objects rate,Americas,Northern America,2006,0.6
Canada,Unknown Mechanism rate,Americas,Northern America,2006,0.1
United States of America,Unknown Mechanism rate,Americas,Northern America,2006,1.1
Brazil,Firearms rate,Americas,South America,2006,17
Colombia,Firearms rate,Americas,South America,2006,31.7
Ecuador,Firearms rate,Americas,South America,2006,11.3
Venezuela,Firearms rate,Americas,South America,2006,40.1
Brazil,Other Mechanism rate,Americas,South America,2006,2.4
Colombia,Other Mechanism rate,Americas,South America,2006,1.8
Ecuador,Other Mechanism rate,Americas,South America,2006,1.2
Venezuela,Other Mechanism rate,Americas,South America,2006,1.5
Brazil,Sharp Objects rate,Americas,South America,2006,3.4
Colombia,Sharp Objects rate,Americas,South America,2006,5.9
Ecuador,Sharp Objects rate,Americas,South America,2006,3.2
Venezuela,Sharp Objects rate,Americas,South America,2006,3.1
Brazil,Unknown Mechanism rate,Americas,South America,2006,1.1
Colombia,Unknown Mechanism rate,Americas,South America,2006,0.4
Ecuador,Unknown Mechanism rate,Americas,South America,2006,1.4
Venezuela,Unknown Mechanism rate,Americas,South America,2006,0.3
Aruba,Firearms rate,Americas,Caribbean,2007,2
Bahamas,Firearms rate,Americas,Caribbean,2007,12.9
Barbados,Firearms rate,Americas,Caribbean,2007,4.7
Cayman Islands,Firearms rate,Americas,Caribbean,2007,0
Cuba,Firearms rate,Americas,Caribbean,2007,0.2
Grenada,Firearms rate,Americas,Caribbean,2007,1.9
Jamaica,Firearms rate,Americas,Caribbean,2007,45
Martinique,Firearms rate,Americas,Caribbean,2007,1.4
Puerto Rico,Firearms rate,Americas,Caribbean,2007,16.7
Saint Vincent and the Grenadines,Firearms rate,Americas,Caribbean,2007,19.3
Trinidad and Tobago,Firearms rate,Americas,Caribbean,2007,23.3
Turks and Caicos Islands,Firearms rate,Americas,Caribbean,2007,0
United States Virgin Islands,Firearms rate,Americas,Caribbean,2007,32.7
Aruba,Other Mechanism rate,Americas,Caribbean,2007,0
Bahamas,Other Mechanism rate,Americas,Caribbean,2007,3.3
Barbados,Other Mechanism rate,Americas,Caribbean,2007,1
Cayman Islands,Other Mechanism rate,Americas,Caribbean,2007,0
Cuba,Other Mechanism rate,Americas,Caribbean,2007,1
Grenada,Other Mechanism rate,Americas,Caribbean,2007,2.9
Jamaica,Other Mechanism rate,Americas,Caribbean,2007,2.9
Martinique,Other Mechanism rate,Americas,Caribbean,2007,1.9
Puerto Rico,Other Mechanism rate,Americas,Caribbean,2007,0.7
Trinidad and Tobago,Other Mechanism rate,Americas,Caribbean,2007,2.6
Turks and Caicos Islands,Other Mechanism rate,Americas,Caribbean,2007,3.5
United States Virgin Islands,Other Mechanism rate,Americas,Caribbean,2007,0
Aruba,Sharp Objects rate,Americas,Caribbean,2007,1
Bahamas,Sharp Objects rate,Americas,Caribbean,2007,6
Barbados,Sharp Objects rate,Americas,Caribbean,2007,3.4
Cayman Islands,Sharp Objects rate,Americas,Caribbean,2007,3.9
Cuba,Sharp Objects rate,Americas,Caribbean,2007,3.6
Grenada,Sharp Objects rate,Americas,Caribbean,2007,5.8
